offer,reason
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,"I want to maximize my gain while still offering a reasonable amount to the other player to minimize any potential rejection, even though they can't actually reject my offer."
30,"I want to ensure a favorable outcome while also being reasonable enough that the other player might perceive it as fair, so I will keep a significant amount for myself but still offer enough to be accepted easily."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,I want to keep a significant portion for myself but also offer a fair amount to the other player to make it more enticing for them to accept my proposal.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
10,"To maximize my gain while still offering enough to make it appear fair, I will offer a small amount to the other player. This strategy allows me to keep the majority of the money while minimizing the likelihood of rejection."
20,"I want to keep a significant portion for myself while still offering enough to the other player so they might feel inclined to accept the proposal. Offering $20 seems fair, as it gives them something while I keep $80."
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
30,"I want to keep a substantial amount for myself but also offer a fair amount to the other player to ensure my proposal is more likely to be accepted, as they may feel more inclined to accept a reasonable offer rather than nothing."
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to maximize my own gain while still offering the responder a reasonable amount that could encourage acceptance. Offering 10 dollars to the other player seems fair, as they would at least get something, while I keep 90 dollars."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"To maximize my earnings while still offering a reasonable amount to the other player, I will give them a sum that is sufficient to be seen as fair to encourage acceptance, but not so much that it significantly reduces my own share."
20,I want to maximize my own gain while still offering a reasonable sum to the other player to encourage acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to maximize my own gain while still offering the responder a reasonable amount that could encourage acceptance. Offering 10 dollars to the other player seems fair, as they would at least get something, while I keep 90 dollars."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
10,I want to maximize my own gain while still offering a reasonable amount to the other player to ensure they feel the offer is fair. Offering 10 dollars to them keeps the majority for myself and still gives them something.
10,"Given that the responder has no right of rejection, I want to offer a small amount to them while maximizing my own share. Offering them something is more strategic as it may create goodwill, although they cannot benefit from it."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
10,"I want to ensure a fair distribution while keeping a significant portion for myself, as the responder has no real power to reject my offer. Offering a smaller amount might seem greedy but maximizing my share is strategically sound."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
30,"I want to ensure a favorable outcome while also being reasonable enough that the other player might perceive it as fair, so I will keep a significant amount for myself but still offer enough to be accepted easily."
20,"I want to keep a substantial amount for myself while still offering a reasonable amount to increase the likelihood of acceptance. Offering $20 to the responder should make my proposal seem fair enough, while I retain $80."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"To maximize my gain while still offering a fair amount, I will keep a significant portion for myself but offer a reasonable amount to the other player to ensure they feel valued, which may prompt acceptance."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
30,"I want to ensure a fair balance between myself and the other player, while still benefiting significantly from the total. A proposal of 70 dollars for myself and 30 for the other player seems like a reasonable compromise that may still encourage their acceptance."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"To maximize my earnings while still offering a reasonable amount to the other player, I will give them a sum that is sufficient to be seen as fair to encourage acceptance, but not so much that it significantly reduces my own share."
20,"I want to maximize my earnings while still offering a reasonable amount to the other player, ensuring they might accept my proposal despite knowing they cannot reject it."
10,"I want to maximize my own gain while still offering the responder a reasonable amount that could encourage acceptance. Offering 10 dollars to the other player seems fair, as they would at least get something, while I keep 90 dollars."
20,I want to maximize my own gain while still offering a reasonable amount to the other player to increase the chance of acceptance.
20,"To maximize my own gain while still offering a reasonable amount to the other player, I will keep a significant portion of the money. A fair offer that shows goodwill while ensuring I keep most of the amount could be effective. Therefore, I will offer 20 dollars to the other player."
10,"I want to maximize my own gain while still offering the responder a reasonable amount that could encourage acceptance. Offering 10 dollars to the other player seems fair, as they would at least get something, while I keep 90 dollars."
