offer,reason
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,I want to make an offer that is fair yet leaves me with a decent amount while maximizing the chances of acceptance.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I want to offer a fair split to maximize the chances of acceptance while still keeping a reward for myself. I'll offer 40 dollars to the other player, which is reasonable and likely to be accepted."
40,I want to make an offer that is fair yet leaves me with a decent amount while maximizing the chances of acceptance.
40,"I want to make an offer that is beneficial for both sides while also keeping a substantial amount for myself. Offering 40 dollars seems fair and could likely be accepted since it leaves me with 60 dollars, which is a good amount."
30,I want to make an offer that is fair enough to incentivize acceptance while also allowing me to keep a significant portion of the money.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to offer a fair amount to encourage the other player to accept the proposal while still retaining a reasonable sum for myself.
40,I believe a fair offer would encourage the responder to accept my proposal. Offering them 40 dollars shows that I value their participation while still keeping a significant portion for myself.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
30,I want to make an offer that is fair enough to incentivize acceptance while also allowing me to keep a significant portion of the money.
40,"I want to make a fair offer that will incentivize the responder to accept, while still allowing me to keep a reasonable amount for myself."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
30,"To maximize my chances of acceptance, I will propose a fair division that rewards the other player while still allowing me to keep a decent amount. A split of 70-30 is reasonable and likely to be accepted."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
60,I want to make a fair offer that is likely to be accepted while still allowing me to keep a reasonable amount for myself. Offering a slightly larger portion to the other player could increase the chances of acceptance.
40,"I want to make an offer that the responder will find acceptable, while still keeping a reasonable amount for myself. Offering $40 to the other player seems fair and increases the chance of acceptance."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to offer a fair amount to encourage the other player to accept the proposal while still retaining a reasonable sum for myself.
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I want to offer a fair amount to the other player to increase the chances of my proposal being accepted. Offering them 40 dollars while keeping 60 dollars for myself seems reasonable, as it gives them a significant amount while still allowing me a majority."
30,"I want to make an offer that is fair and likely to be accepted, as rejecting would result in both of us getting nothing. Offering a reasonable split shows goodwill and increases the chance of acceptance."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
30,I want to make a fair offer that the responder is likely to accept while still keeping a significant amount for myself. A 70-30 split could be seen as generous enough for acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,I want to make a fair offer that incentivizes the other player to accept while still allowing me to keep a reasonable amount. Offering 40 dollars to the other player feels like a generous enough sum to encourage acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to make an offer that is reasonable yet advantageous for myself while still being attractive to the other player so they are likely to accept it.
40,"I want to create a fair offer that incentivizes acceptance while still keeping a reasonable amount for myself. Offering 40 dollars to the other player should be sufficient to motivate them to accept the proposal, as it gives them a significant share of the total."
30,I want to make an offer that is fair enough to encourage acceptance while still keeping a significant amount for myself.
30,I want to make a fair offer that the responder is likely to accept while still keeping a significant amount for myself. A 70-30 split could be seen as generous enough for acceptance.
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I want to make a fair offer that incentivizes the other player to accept, while also keeping a reasonable amount for myself."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,I want to make an offer that is fair yet leaves me with a decent amount while maximizing the chances of acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,"I want to make an offer that is fair and likely to be accepted, as rejecting would result in both of us getting nothing. Offering a reasonable split shows goodwill and increases the chance of acceptance."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
30,I want to make an offer that is likely to be accepted while still keeping a reasonable amount for myself. Offering a significant portion to the other player encourages acceptance.
40,"I want to make a fair proposal that might encourage acceptance while still allowing me to keep a decent amount. Offering 40 dollars to the other player should be appealing enough for them to accept, as it's more than half of what they would get if they rejected and both earned nothing."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
40,"I believe a fair offer that provides the other player with a substantial amount will likely be accepted, while still allowing me to keep a decent amount. Therefore, I will offer an equitable split."
